NpMap,PRmap_tt,WpMap,PR_ts,eta_tt,eta_ts,nu
0.7,1.661,1.0851840136538364,1.7199498427175988,0.8131868532864445,0.7660293512946822,0.4828156738254218
0.7,1.709,1.103317118688693,1.7755145369734722,0.8023059821947698,0.7544739803106936,0.4706939595386058
0.7,1.757,1.119230112281535,1.8315153211672863,0.7921245454981234,0.7436683945559726,0.45982770838274045
0.7,1.805,1.1332410904815404,1.8879438456760573,0.7825925964346089,0.7335600689063927,0.4500222689843931
0.7,1.854,1.145858146915367,1.945981606945937,0.7734792771961687,0.7239042136651193,0.44094539005875966
0.7,1.902,1.1567933484180464,2.003253420788223,0.7651068169825176,0.715041608613387,0.4328397239218768
0.7,1.95,1.1665083102687552,2.0609337577728284,0.7572374889699003,0.7067195094243114,0.42540845855653775
0.9,1.42,0.8731820811116698,1.4471308788371782,0.9130409010184307,0.8694912702064925,0.7394602233449311
0.9,1.468,0.914142440400545,1.4981876915649115,0.9156758209926671,0.8730233970917047,0.7094298077416619
0.9,1.516,0.9499613829945975,1.5496985629104592,0.9146045520857987,0.872421865240437,0.6837504824587148
0.9,1.565,0.9819832367102928,1.602713527415275,0.9112189256517119,0.8692222978403729,0.661072614873571
0.9,1.613,1.0095329225789882,1.6550425278879628,0.9065620160848562,0.8645560193151163,0.6416388358282492
0.9,1.661,1.0338325177997918,1.7077439749561323,0.9011336398102192,0.8589922050944357,0.6244509155143503
0.9,1.709,1.0553265334599033,1.7608027043078172,0.8952824449878327,0.8529222826566157,0.6091239454446072
0.9,1.757,1.074391765517725,1.8142064216703844,0.8892326650780241,0.8465998117325643,0.5953578222732376
0.9,1.805,1.0913483417055323,1.8679451364294144,0.8831296102096381,0.8401903615061496,0.5829148542584951
0.9,1.854,1.1067659966755186,1.9231399233303708,0.8769421853827589,0.8336699868876116,0.5713795158787838
0.9,1.902,1.1202519054801598,1.9775306208141257,0.8709843884479125,0.8273762155229314,0.5610651500361596
0.9,1.95,1.1323375878165711,2.0322338881124002,0.8651671573721537,0.8212201300025304,0.5515982598976671
1.0,1.42,0.8284514982320715,1.4509069045841245,0.884166894085127,0.8365242799187357,0.818949188814903
1.0,1.468,0.8746310746694587,1.501089481926045,0.8999627874269549,0.8542764457824367,0.7865236425768921
1.0,1.516,0.9146730623352196,1.5517510297789565,0.9090596365572697,0.8647428329837857,0.7586751143913907
1.0,1.565,0.9500650849386164,1.603900736470244,0.9138405030650263,0.8704815622526841,0.7340019137580506
1.0,1.613,0.9801100004316086,1.6553709309314875,0.9155921681241586,0.8728575208801321,0.7128053731345066
1.0,1.661,1.0062259759124637,1.7071945911512352,0.915391461577274,0.8730539678627073,0.6940214810596348
1.0,1.709,1.0289691652889457,1.7593519902869263,0.9138631969400534,0.8717557764608019,0.6772441985330618
1.0,1.757,1.048816298885066,1.8118276860373512,0.9114312017955903,0.8694305417194554,0.6621550092062791
1.0,1.805,1.0661744185376,1.8646094748639404,0.9083879233087492,0.8664028420098464,0.6485004016358674
1.0,1.854,1.081686706877236,1.9187962795293763,0.9048629300698664,0.8628243509629536,0.6358290252920608
1.0,1.902,1.095019856325929,1.9721678461800252,0.9011469719010559,0.8590059659057937,0.6244889138361781
1.0,1.95,1.1067621847046418,2.0258200333891025,0.8972743830642619,0.8549947579484362,0.6140725504500537
1.1,1.42,0.7219323990819458,1.452495929773846,0.8704059813160173,0.8212652784413169,0.84051
1.1,1.468,0.7946039256685996,1.505091163633902,0.8704059813160173,0.8212652784413169,0.84051
1.1,1.516,0.853652307525427,1.5569697077692046,0.8763888712704041,0.8278821970649436,0.8316432744455683
1.1,1.565,0.9015832038698027,1.608324500690924,0.891531116951403,0.8447589365664157,0.8052735253647356
1.1,1.613,0.9403586340937691,1.6590422452053952,0.9015131818561751,0.8560411249950822,0.7825359145482677
1.1,1.661,0.9723369282382276,1.7101212121362104,0.9080932329785864,0.8636138264373157,0.762330058970576
1.1,1.709,0.9986729202962189,1.7615302584774937,0.9122208149014321,0.8684941340489173,0.7442427556612308
1.1,1.757,1.0203619333196314,1.813246983444487,0.9145591594305148,0.8713975106531815,0.7279459069923573
1.1,1.805,1.0382409414420048,1.865254270676686,0.9155797449016285,0.8728357749264933,0.7131762298007455
1.1,1.854,1.053282040027788,1.918631124838318,0.9156154829953831,0.8731783074468024,0.6994523619183114
1.1,1.902,1.0654490169322566,1.9711880247386373,0.9149178250019632,0.8726886861763129,0.6871566673768362
1.1,1.95,1.0755413312718374,2.024002767385037,0.9136803041074539,0.87158669855212,0.675851751705731
